id,title_english,format,status,season,seasonYear,seasonInt,episodes,duration,averageScore,meanScore,popularity,favourites
16498,Attack on Titan,TV,FINISHED,SPRING,2013.0,132.0,25.0,24.0,85.0,85.0,923138,55764
101922,Demon Slayer: Kimetsu no Yaiba,TV,FINISHED,SPRING,2019.0,192.0,26.0,24.0,82.0,82.0,876899,42063
1535,Death Note,TV,FINISHED,FALL,2006.0,64.0,37.0,23.0,84.0,84.0,840513,44157
113415,JUJUTSU KAISEN,TV,FINISHED,FALL,2020.0,204.0,24.0,24.0,84.0,84.0,831521,49300
21459,My Hero Academia,TV,FINISHED,SPRING,2016.0,162.0,13.0,24.0,76.0,76.0,777648,20698
11061,Hunter x Hunter (2011),TV,FINISHED,FALL,2011.0,114.0,148.0,24.0,89.0,89.0,742982,69814
21087,One-Punch Man,TV,FINISHED,FALL,2015.0,154.0,12.0,24.0,83.0,83.0,689728,24866
20605,Tokyo Ghoul,TV,FINISHED,SUMMER,2014.0,143.0,12.0,24.0,76.0,76.0,658108,18099
20958,Attack on Titan Season 2,TV,FINISHED,SPRING,2017.0,172.0,12.0,25.0,84.0,84.0,651011,14354
21,ONE PIECE,TV,RELEASING,FALL,1999.0,994.0,,24.0,88.0,88.0,643138,89649
5114,Fullmetal Alchemist: Brotherhood,TV,FINISHED,SPRING,2009.0,92.0,64.0,25.0,90.0,90.0,641435,52668
11757,Sword Art Online,TV,FINISHED,SUMMER,2012.0,123.0,25.0,23.0,69.0,69.0,639980,18264
20,Naruto,TV,FINISHED,FALL,2002.0,24.0,220.0,23.0,80.0,80.0,638917,28741
21519,Your Name.,MOVIE,FINISHED,SUMMER,2016.0,163.0,1.0,107.0,85.0,85.0,629023,34356
20954,A Silent Voice,MOVIE,FINISHED,SUMMER,2016.0,163.0,1.0,130.0,88.0,88.0,620257,44637
99147,Attack on Titan Season 3,TV,FINISHED,SUMMER,2018.0,183.0,12.0,24.0,85.0,85.0,607845,14333
21856,My Hero Academia Season 2,TV,FINISHED,SPRING,2017.0,172.0,25.0,24.0,79.0,79.0,591006,8586
101759,The Promised Neverland,TV,FINISHED,WINTER,2019.0,191.0,12.0,23.0,83.0,83.0,574760,17690
110277,Attack on Titan Final Season,TV,FINISHED,WINTER,2021.0,211.0,16.0,24.0,86.0,86.0,567298,19527
20755,Assassination Classroom,TV,FINISHED,WINTER,2015.0,151.0,22.0,23.0,79.0,79.0,561605,16234
21507,Mob Psycho 100,TV,FINISHED,SUMMER,2016.0,163.0,12.0,24.0,84.0,84.0,552377,28058
20665,Your lie in April,TV,FINISHED,FALL,2014.0,144.0,22.0,23.0,84.0,84.0,542371,26802
21234,ERASED,TV,FINISHED,WINTER,2016.0,161.0,12.0,23.0,81.0,81.0,541840,19869
100166,My Hero Academia Season 3,TV,FINISHED,SPRING,2018.0,182.0,25.0,24.0,79.0,79.0,541002,8169
1735,Naruto: Shippuden,TV,FINISHED,WINTER,2007.0,71.0,500.0,23.0,82.0,82.0,540345,33168
104578,Attack on Titan Season 3 Part 2,TV,FINISHED,SPRING,2019.0,192.0,10.0,24.0,89.0,89.0,540259,23169
21355,Re:ZERO -Starting Life in Another World-,TV,FINISHED,SPRING,2016.0,162.0,25.0,25.0,81.0,81.0,535068,27069
9253,Steins;Gate,TV,FINISHED,SPRING,2011.0,112.0,24.0,24.0,89.0,89.0,527039,44146
20464,HAIKYU!!,TV,FINISHED,SPRING,2014.0,142.0,25.0,24.0,83.0,83.0,524752,27953
127230,Chainsaw Man,TV,FINISHED,FALL,2022.0,224.0,12.0,25.0,83.0,84.0,516021,27767
101291,Rascal Does Not Dream of Bunny Girl Senpai,TV,FINISHED,FALL,2018.0,184.0,13.0,25.0,81.0,81.0,507026,24973
97940,Black Clover,TV,FINISHED,FALL,2017.0,174.0,170.0,24.0,79.0,79.0,503691,23686
20447,Noragami,TV,FINISHED,WINTER,2014.0,141.0,12.0,24.0,77.0,77.0,491897,13411
101921,Kaguya-sama: Love is War,TV,FINISHED,WINTER,2019.0,191.0,12.0,24.0,83.0,83.0,491791,23669
19815,"No Game, No Life",TV,FINISHED,SPRING,2014.0,142.0,12.0,24.0,77.0,77.0,491704,15489
105333,Dr. STONE,TV,FINISHED,SUMMER,2019.0,193.0,24.0,24.0,81.0,81.0,487687,19412
140960,SPY x FAMILY,TV,FINISHED,SPRING,2022.0,222.0,12.0,24.0,83.0,83.0,486788,22224
