Studio,Popularity
A-1 Pictures,15040408
MADHOUSE,13579096
J.C.STAFF,12607568
bones,11966341
Production I.G,8767325
MAPPA,8478614
Kyoto Animation,7670602
WIT STUDIO,7291522
Studio Pierrot,7171161
CloverWorks,6571328
Sunrise,5788081
Toei Animation,5719640
TMS Entertainment,5537802
Studio DEEN,5534200
SILVER LINK.,5299670
ufotable,5066337
WHITE FOX,4733620
Shaft,4681799
Lerche,4356213
Doga Kobo,3699766
Brain's Base,3682564
David Production,3653491
OLM,3580151
8-bit,3354677
P.A.WORKS,3270536
LIDENFILMS,3246352
Studio Ghibli,2804092
TRIGGER,2596203
Kinema Citrus,2565999
feel.,2300810
Satelight,2199834
GONZO,2103039
Gainax,1952412
Xebec,1919937
CoMix Wave,1899625
diomedéa,1868202
project No.9,1498423
Tezuka Productions,1432847
Passione,1411660
Seven Arcs,1408986
Manglobe,1371300
Asread,1359392
TNK,1354402
Science SARU,1341189
Shin-Ei Animation,1290281
Tatsunoko Production,1272052
Studio Bind,1241910
Studio Gokumi,1204765
Telecom Animation Film,1184955
Zero-G,1166577
AIC,1153809
Bandai Namco Pictures,1138212
C2C,1002693
Ajiado,970927
Orange,948279
Nexus,900638
Arms,894577
EMT Squared,893492
Production IMS,880332
ZEXCS,876280
SynergySP,851587
GoHands,832915
Artland,786939
Seven,766720
ENGI,761371
TROYCA,736808
Graphinica,731530
Bibury Animation Studios,715449
Lay-duce,700470
GEEKTOYS,699882
Shuka,686956
Bridge,686580
Studio 3Hz,662441
Signal.MD,655929
Hoods Entertainment,655176
PINE JAM,652037
EGG FIRM,651533
NAZ,628790
Maho Film,609031
A.C.G.T.,581508
Okuruto Noboru,576220
Actas,572820
Nippon Animation,571162
NUT,567427
Studio Khara,549907
Studio Gallop,547563
Studio VOLN,546658
Millepensee,534631
CONNECT,532650
Studio 4°C,532255
Marvy Jack,528450
Yokohama Animation Lab,526534
Tokyo Movie Shinsha,525629
Nomad,523139
AIC Build,521801
Drive,520392
Felix Film,507645
Studio Comet,481195
Studio Colorido,471512
Arvo Animation,445360
POLYGON PICTURES,444712
Hal Film Maker,439977
Asahi Production,432921
Studio KAI,430639
Ashi Productions,421596
Studio Signpost,411325
CygamesPictures,410897
C-Station,409755
studio MOTHER,409367
Geno Studio,409043
Studio Hibari,405027
TOHO animation STUDIO,402651
AIC Plus+,400003
Studio Chizu,398637
SANZIGEN,398568
Studio LAN,396580
BLADE,393576
AIC A.S.T.A.,389960
Haoliners Animation,386986
Platinum Vision,384611
AXsiZ,373995
Studio PuYUKAI,364339
Encourage Films,346010
Triangle Staff,342797
Daume,326502
bones film,322460
Yumeta Company,322285
Lapin Track,313155
Bee Train,311189
TYO Animations,308686
Studio Blanc,296410
Studio Palette,295667
Fanworks,288534
studio A-CAT,285600
Creators in Pack,283191
REVOROOT,276640
TYPHOON GRAPHICS,268014
Staple Entertainment,261966
WAO World,259749
Studio Silver,253565
HORNETS,252108
T-REX,249902
Yostar Pictures,249752
DR Movie,249729
Atelier Pontdarc,248272
APPP,246511
Pb Animation,245079
AIC Spirits,235387
Group TAC,233697
BUG FILMS,232878
B.CMAY PICTURES,218233
Magic Bus,212008
WolfsBane,208300
Kamikaze Douga,198717
Gekkou,197541
CLOUDHEARTS,190579
Ordet,188521
Liber,186123
Studio Flad,182419
Studio Rikka,178361
Imagin,177199
Ezo’la,175487
domerica,174563
DLE,166522
Children's Playground Entertainment,156602
P.I.C.S.,152406
Gaina,151849
Tear-Studio,150016
The Answer Studio,149266
Quad,148517
Big Firebird Cultural Media,146772
Shogakukan Music & Digital Entertainment,138407
Studio Kafka,137853
exsa,132937
Studio elle,131154
Radix,130626
Sharefun Studio,130204
Hayabusa Film,128833
Tsumugi Akita Anime Lab,128081
G.CMay Animation & Film,126837
Shirogumi,125770
GEMBA,121342
ILCA,121077
Jumondou,119266
Colored Pencil Animation,118508
Larx Entertainment,117948
Studio Massket,117847
CLAP,116681
Studio 1st,115702
Team Yamahitsuji,115270
PIERROT FILMS,114940
E&H Production,114706
Animate Film,114341
Foch,109678
Sublimation,109617
East Fish Studio,107788
Vega Entertainment,106919
ENISHIYA,103710
Studio M2,102042
BAKKEN RECORD,101484
EKACHI EPILKA,101188
Studio Fantasia,100509
Hotline,99897
Studio Durian,99375
Qualia Animation,99046
Topcraft,98127
Mushi Production,97682
Paper Plane Animation Studio,97525
Studio Add,95995
Sunrise Beyond,95270
Akatsuki,94676
production doA,93656
Purple Cow Studio Japan,93569
Pastel,91841
CMC Media,84179
OZ,84043
Fugaku,82542
Lesprit,81211
Studio Houkiboshi,81043
Gathering,78844
Makaria,78778
Production +h,77656
Kitty Film,77077
T.P.O,75920
K-Factory,75920
M.S.C,75242
Artmic,74783
Palm Studio,72503
Sparkly Key Animation,69582
Dandelion Animation Studio,69167
CompTown,68855
Imagineer,67387
FLAT STUDIO,67238
NewGeneration,67227
E&G Films,67095
Studio Live,66540
Studio Lings,66412
Studio 9 Maiami,64155
Digital Network Animation,63642
Ascension,62940
AQUA ARIS,61304
Wonderland,60705
3xCube,60520
Genco,59513
100studio,59283
W-Toon Studio,57784
PoRO petit,56482
Shogakukan-Shueisha Productions,56436
Sakura Create,54800
Digital Frontier,53537
Majin petit,53041
DMM.futureworks,52606
Pandanium,51503
Queen Bee,51227
PRA,50915
Elias,50699
Sola Digital Arts,50426
Studio Ponoc,49211
LandQ studios,49095
Red Dog Culture House,48882
A-Real,48528
BREAKBOTTLE,48496
studio CANDY BOX,48082
Think Corporation,47521
GA-CREW,46582
Saetta,45749
UWAN Pictures,45473
Studio Pastoral,43692
STUDIO POLON,43048
Robot,42970
HMCH,42654
Magia Doraglier,42205
GRIZZLY,41667
Imagica Infos,41659
Yaoyorozu,41356
Anime Antenna Iinkai,41055
PrimeTime,41017
ROLL2,40646
Issen,40547
Studio Mir,40486
Teddy,39823
GARDEN,39762
Collaboration Works,39453
TriF studio,39391
Dongwoo Animation,38687
Space Neko Company,38654
Marza Animation Planet,38641
marone,37981
Ruo Hong Culture,37913
Tokyo Kids,37749
Rabbit Gate,37494
Picture Magic,36004
G&G Entertainment,34902
Studio Saki Makura,34595
Studio Nue,34003
Colored Pencil Animation Japan,33986
LICO,33876
PoRO,33406
BOOTLEG,32789
Majin,32677
Studio Anima,32536
Adnero,32342
BloomZ,31224
Bunny Walker,29911
L² Studio,29781
Kyokuichi Tokyo Movie Shinsha,29737
Wawayu Animation,28553
Square Pictures,28503
Nur,28478
Motion Magic,28443
dwarf,28221
Lilix,27034
ASK Animation Studio,27000
Peak Hunt,26856
Saber Works,26716
Oh! Production,26509
Sotsu,26358
l-a-unch・BOX,26330
Xebec Zwei,26293
Samsara Studio,26114
Anime Antenna Group,26078
Studio Clutch,25950
Craftar,25893
Project Team Argos,25523
Studio Eromatick,25395
Selfish,25190
Suzuki Mirano petit,24751
Planet Cartoon,24698
Soigne,24505
EOTA,24289
Visual Flight,24160
Studio Junio,24039
Studio Matrix,23478
LIDENFILMS Kyoto Studio,23178
GRAPH77,22966
Chaos Project,22896
Studio Animal,22836
Thundray,22396
Pashmina,22343
Voil,22209
Imagica Lab.,22164
YAMATOWORKS,20989
Shion,20917
studio daisy,20697
Alfred Imageworks,20626
NAMU Animation,20491
Po10tial,20488
FLAGSHIP LINE,20464
Phoenix Entertainment,20161
Rising Force,19580
Tokyo Movie,19575
Scooter Films,19198
DNA,19151
Kachigarasu,18992
Studio JEMI,18960
Juumonji,18908
CHIPPAI,18774
Gift-o’-Animation,18746
Studio Dice,18717
INDIVISION,18627
MOE,18288
ZIZ Entertainment,18160
aNCHOR,18159
G-lam,17674
miHoYo Anime,17619
BeSTACK,17270
Office Takeout,17060
Trinet Entertainment,16928
Cyclone Graphics,16911
Tomovies,16877
Cover Corp,16662
STEVE N' STEVEN,16511
Tsuchida Productions,16487
Studio 88,16398
Ryuu M's,16299
Vistec Entertainment,16288
JM animation,16286
Pili International Multimedia,16203
Eiken,16154
Remic,15850
Studio Jam,15843
Aubec,15821
Minami Machi Bugyousho,15729
Imageworks Studio,15702
Qzil.la,15431
Square Enix,15400
Team YokkyuFuman,15073
monofilmo,15053
Animation Planet,14985
Bouncy,14870
OTOIRO,14729
Anima&Co. ,14596
Soyep,14576
Plum,14496
